,date,no_data,no_water,water,total_pixels,total_obs,prop_water,prop_obs,prop_water_dq,prop_obs_gt_dq
0,1984-03-01,2150816.2862744904,0.0,0.0,2150816.2862744904,0.0,,0.0,,0.0
1,1984-04-01,2150816.2862744904,0.0,0.0,2150816.2862744904,0.0,,0.0,,0.0
2,1984-05-01,29747.980392156864,1954737.050980374,166331.25490196078,2150816.286274492,2121068.3058823347,0.07841862255952635,0.986168981245867,0.07841862255952635,0.13
3,1984-06-01,1199.6235294117646,1967170.3960784134,182446.26666666666,2150816.286274492,2149616.66274508,0.08487386138590922,0.999442247328576,0.08487386138590922,0.13
4,1984-07-01,492181.21176470583,1573683.8078431238,84951.26666666666,2150816.2862744965,1658635.0745097904,0.05121757520518732,0.7711653873435977,,0.0
5,1984-08-01,2150816.286274491,0.0,0.0,2150816.286274491,0.0,,0.0,,0.0
6,1984-09-01,1472.0,1959333.5411764525,190010.74509803922,2150816.286274492,2149344.286274492,0.08840405248774232,0.9993156086787172,0.08840405248774232,0.13
7,1984-10-01,7292.631372549019,1955267.8980391975,188255.7568627451,2150816.286274492,2143523.6549019427,0.08782536942488606,0.9966093657468156,0.08782536942488606,0.13
8,1984-11-01,2150816.2862744904,0.0,0.0,2150816.2862744904,0.0,,0.0,,0.0
9,1984-12-01,2150816.2862744904,0.0,0.0,2150816.2862744904,0.0,,0.0,,0.0
10,1985-01-01,2150816.2862744904,0.0,0.0,2150816.2862744904,0.0,,0.0,,0.0
11,1985-02-01,2150816.286274491,0.0,0.0,2150816.286274491,0.0,,0.0,,0.0
12,1985-03-01,2150393.286274491,423.0,0.0,2150816.286274491,423.0,0.0,0.00019666951691754857,,0.0
13,1985-04-01,169223.4862745097,1805962.1725490016,175630.62745098036,2150816.286274492,1981592.7999999821,0.08863103835004948,0.9213212735302335,0.08863103835004948,0.13
14,1985-05-01,2150816.2862744904,0.0,0.0,2150816.2862744904,0.0,,0.0,,0.0
15,1985-06-01,2150816.2862744904,0.0,0.0,2150816.2862744904,0.0,,0.0,,0.0
16,1985-07-01,2150816.2862744904,0.0,0.0,2150816.2862744904,0.0,,0.0,,0.0
17,1985-08-01,651938.2431372543,1351468.0901960656,147409.95294117648,2150816.2862744965,1498878.043137242,0.09834686258572349,0.6968879921090335,,0.0
18,1985-09-01,178936.2901960784,1806305.9215686095,165574.0745098039,2150816.286274492,1971879.9960784134,0.08396762218750137,0.9168054048418889,0.08396762218750137,0.13
19,1985-10-01,1098009.2980392128,1006490.0196078282,46316.96862745098,2150816.286274492,1052806.9882352792,0.043993789122817026,0.48949182454763956,,0.0
20,1985-11-01,1048494.3999999971,1039918.1686274359,62403.717647058824,2150816.286274492,1102321.8862744947,0.05661115725277305,0.5125132691755218,,0.0
21,1985-12-01,2150816.2862744904,0.0,0.0,2150816.2862744904,0.0,,0.0,,0.0
22,1986-01-01,2150816.2862744904,0.0,0.0,2150816.2862744904,0.0,,0.0,,0.0
23,1986-02-01,50796.70588235294,1915116.803921551,184902.77647058823,2150816.2862744923,2100019.580392139,0.08804812021612728,0.9763825919458978,0.08804812021612728,0.13
24,1986-03-01,9573.729411764707,1961774.7843137074,179467.77254901963,2150816.286274492,2141242.556862727,0.0838147794017178,0.9955487925803519,0.0838147794017178,0.13
25,1986-04-01,9478.356862745099,1967546.1294117465,173791.8,2150816.2862744913,2141337.9294117466,0.08116037997222739,0.9955931350700516,0.08116037997222739,0.13
26,1986-05-01,743820.6980392128,1280752.6313725337,126242.95686274511,2150816.286274492,1406995.5882352788,0.08972519737683404,0.6541681859180952,,0.0
27,1986-06-01,4999.874509803922,1987579.184313707,158237.2274509804,2150816.2862744913,2145816.4117646874,0.07374220207443025,0.9976753595638499,0.07374220207443025,0.13
28,1986-07-01,155863.30588235267,1875650.607843119,119302.37254901961,2150816.2862744913,1994952.9803921385,0.05980209745372991,0.9275329525459706,0.05980209745372991,0.13
29,1986-08-01,1655451.3176470557,475161.34509803384,20203.623529411765,2150816.2862745016,495364.96862744563,0.040785329623513444,0.23031486779630225,,0.0
30,1986-09-01,14817.329411764706,1983741.3764705698,152257.58039215684,2150816.2862744913,2135998.9568627267,0.07128167357150161,0.9931108344741846,0.07128167357150161,0.13
31,1986-10-01,1078978.4039215678,1042600.5137254832,29237.368627450982,2150816.286274502,1071837.8823529342,0.027277789961358836,0.49834004382098995,,0.0
32,1986-11-01,1498305.0235294015,633917.2627450968,18594.0,2150816.2862744983,652511.2627450968,0.02849605985615567,0.3033784274877952,,0.0
33,1986-12-01,2150816.2862744904,0.0,0.0,2150816.2862744904,0.0,,0.0,,0.0
34,1987-01-01,2150816.2862744904,0.0,0.0,2150816.2862744904,0.0,,0.0,,0.0
