report_id,department,title,lat,lon,address,date,label,geoid,incident_types
b30c8facd1de15c8246bdd3334d06b8790b0425d7084ebba8706b645450e37eb,bahraindemo,Bahrain,26.0986,50.4868,Rd No 3449,2019-05-08,E,0,Riots/Protests|Violence Against Civilians
b30c8facd1de15c8246bdd3334d06b8790b0425d7084ebba8706b645450e37eb,bahraindemo,Bahrain,26.1336,50.6091,Rd No 3401,2019-05-08,F,0,Riots/Protests|Violence Against Civilians
b30c8facd1de15c8246bdd3334d06b8790b0425d7084ebba8706b645450e37eb,bahraindemo,Bahrain,26.143,50.6106,Rd No 2339,2019-05-08,G,0,Riots/Protests|Violence Against Civilians
b30c8facd1de15c8246bdd3334d06b8790b0425d7084ebba8706b645450e37eb,bahraindemo,Bahrain,26.1551,50.6211,Rd No 733,2019-05-08,I,0,Riots/Protests|Violence Against Civilians
b5660ea4fbedda6b5916938590e3b3b0e57f936cbd8b2300e0bc9a865d2613ff,bahraindemo,Bahrain,26.1941,50.4823,مسجد الوطية، Rd No 2308,2018-12-14,A,0,Riots/Protests|Violence Against Civilians
b5660ea4fbedda6b5916938590e3b3b0e57f936cbd8b2300e0bc9a865d2613ff,bahraindemo,Bahrain,26.2116,50.5375,Avenue 25,2018-12-14,B,0,Riots/Protests|Violence Against Civilians
b5660ea4fbedda6b5916938590e3b3b0e57f936cbd8b2300e0bc9a865d2613ff,bahraindemo,Bahrain,26.217,50.533,Rd No 2579,2018-12-14,C,0,Riots/Protests|Violence Against Civilians
b5660ea4fbedda6b5916938590e3b3b0e57f936cbd8b2300e0bc9a865d2613ff,bahraindemo,Bahrain,26.2305,50.5301,طريق : 3423,2018-12-14,G,0,Riots/Protests|Violence Against Civilians
b5660ea4fbedda6b5916938590e3b3b0e57f936cbd8b2300e0bc9a865d2613ff,bahraindemo,Bahrain,26.217,50.5062,Rd No 7121,2018-12-14,J,0,Riots/Protests|Violence Against Civilians
b5660ea4fbedda6b5916938590e3b3b0e57f936cbd8b2300e0bc9a865d2613ff,bahraindemo,Bahrain,26.2183,50.4704,Rd No 3621,2018-12-14,D,0,Riots/Protests|Violence Against Civilians
b5660ea4fbedda6b5916938590e3b3b0e57f936cbd8b2300e0bc9a865d2613ff,bahraindemo,Bahrain,26.2278,50.5852,Rd No 833,2018-12-14,E,0,Riots/Protests|Violence Against Civilians
b5660ea4fbedda6b5916938590e3b3b0e57f936cbd8b2300e0bc9a865d2613ff,bahraindemo,Bahrain,26.2802,50.6345,Rd No 3631,2018-12-14,H,0,Riots/Protests|Violence Against Civilians
b5660ea4fbedda6b5916938590e3b3b0e57f936cbd8b2300e0bc9a865d2613ff,bahraindemo,Bahrain,26.1336,50.6091,Rd No 3401,2018-12-14,I,0,Riots/Protests|Violence Against Civilians
b5660ea4fbedda6b5916938590e3b3b0e57f936cbd8b2300e0bc9a865d2613ff,bahraindemo,Bahrain,26.2291,50.4808,Alabd Alsaleh,2018-12-14,F,0,Riots/Protests|Violence Against Civilians
acfc9d3b5b5818509eddbf97fbec50898d3371d01256f0c6f55ff25c29488633,bahraindemo,Bahrain,26.143,50.6106,Rd No 2339,2019-06-01,G,0,Riots/Protests|Violence Against Civilians
acfc9d3b5b5818509eddbf97fbec50898d3371d01256f0c6f55ff25c29488633,bahraindemo,Bahrain,26.1551,50.6211,Rd No 733,2019-06-01,I,0,Riots/Protests|Violence Against Civilians
acfc9d3b5b5818509eddbf97fbec50898d3371d01256f0c6f55ff25c29488633,bahraindemo,Bahrain,26.2183,50.4704,Rd No 3621,2019-06-01,B,0,Riots/Protests|Violence Against Civilians
acfc9d3b5b5818509eddbf97fbec50898d3371d01256f0c6f55ff25c29488633,bahraindemo,Bahrain,26.2197,50.5226,Al Nakheel Ave,2019-06-01,C,0,Riots/Protests|Violence Against Civilians
acfc9d3b5b5818509eddbf97fbec50898d3371d01256f0c6f55ff25c29488633,bahraindemo,Bahrain,26.217,50.5062,Rd No 7121,2019-06-01,J,0,Riots/Protests|Violence Against Civilians
acfc9d3b5b5818509eddbf97fbec50898d3371d01256f0c6f55ff25c29488633,bahraindemo,Bahrain,26.217,50.533,Rd No 2579,2019-06-01,A,0,Riots/Protests|Violence Against Civilians
acfc9d3b5b5818509eddbf97fbec50898d3371d01256f0c6f55ff25c29488633,bahraindemo,Bahrain,26.2305,50.5301,طريق : 3423,2019-06-01,D,0,Riots/Protests|Violence Against Civilians
acfc9d3b5b5818509eddbf97fbec50898d3371d01256f0c6f55ff25c29488633,bahraindemo,Bahrain,26.0986,50.4868,Rd No 3449,2019-06-01,E,0,Riots/Protests|Violence Against Civilians
acfc9d3b5b5818509eddbf97fbec50898d3371d01256f0c6f55ff25c29488633,bahraindemo,Bahrain,26.1161,50.4823,Rd No 2635,2019-06-01,F,0,Riots/Protests|Violence Against Civilians
acfc9d3b5b5818509eddbf97fbec50898d3371d01256f0c6f55ff25c29488633,bahraindemo,Bahrain,26.151,50.4972,5831 Rd No 5822,2019-06-01,H,0,Riots/Protests|Violence Against Civilians
b56496e4b5dfc03a18a171728999f934511f5759ccc9cb4739a312f7efbaf23b,bahraindemo,Bahrain,26.143,50.4599,Rd No 1030,2019-06-24,A,0,Riots/Protests|Violence Against Civilians
b56496e4b5dfc03a18a171728999f934511f5759ccc9cb4739a312f7efbaf23b,bahraindemo,Bahrain,26.151,50.4972,5831 Rd No 5822,2019-06-24,H,0,Riots/Protests|Violence Against Civilians
b56496e4b5dfc03a18a171728999f934511f5759ccc9cb4739a312f7efbaf23b,bahraindemo,Bahrain,26.2022,50.5301,Avenue 55-shop 120 -block 439،، North Sehla,2019-06-24,B,0,Riots/Protests|Violence Against Civilians
b56496e4b5dfc03a18a171728999f934511f5759ccc9cb4739a312f7efbaf23b,bahraindemo,Bahrain,26.217,50.533,Rd No 2579,2019-06-24,C,0,Riots/Protests|Violence Against Civilians
b56496e4b5dfc03a18a171728999f934511f5759ccc9cb4739a312f7efbaf23b,bahraindemo,Bahrain,26.217,50.5062,Rd No 7121,2019-06-24,J,0,Riots/Protests|Violence Against Civilians
