data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
6060198,48,BHR1580,1580,"30 May 2019",2019,1,Riots,"Violent demonstration","Rioters (Bahrain)",,5,"Police Forces of Bahrain (1999-)",,1,15,"Middle East",Bahrain,Northern,,,"Abu Saybi",26.2175,50.5069,1,"Al Wafa","New media","On 30/5/2019, demonstrating ahead of Quds Day, rioters in Abu Saybi clashed with security forces. [size=no report]",0,1571164548,BHR
7875830,48,BHR1586,1586,"30 May 2019",2019,1,Riots,"Violent demonstration","Rioters (Bahrain)","February 14 Youth Coalition",5,,,0,50,"Middle East",Bahrain,Northern,,,Sar,26.1942,50.4819,1,"14 February Revolution Youth Coalition",Other,"On 30 May 2019, anti-regime rioters who are part of the agitation led by the February 14 Youth Coalition, blocked a street in Sar with burning debris and Israeli flags. The February 14 Youth Coalition is currently marking Quds Day in support of Palestinians. [size=no report]",0,1618859402,BHR
7876530,48,BHR1591,1591,"30 May 2019",2019,1,Protests,"Peaceful protest","Protesters (Bahrain)",,6,,,0,60,"Middle East",Bahrain,Northern,,,Karranah,26.2292,50.5094,1,"Al Wafa",Other,"On 30 May 2019, ahead of Quds Day, anti-regime demonstartors blocked a street in Karranah and burned Israeli flags . [size=no report]",0,1618859404,BHR
7876586,48,BHR1590,1590,"30 May 2019",2019,1,Protests,"Peaceful protest","Protesters (Bahrain)",,6,,,0,60,"Middle East",Bahrain,Southern,,,Nuwaidrat,26.1347,50.5975,1,"Al Wafa",Other,"On 30 May 2019, ahead of Quds Day, anti-regime demonstrators blocked a street in Nuwaidrat and burned Israeli flags. [size=no report]",0,1618859404,BHR
8749678,48,BHR1565,1565,"30 May 2019",2019,1,Protests,"Peaceful protest","Protesters (Bahrain)",,6,,,0,60,"Middle East",Bahrain,Capital,,,Karbabad,26.2303,50.5294,1,"LuaLua TV",National,"On 30/5/2019, a crowd took to the streets in Karbabad ahead of the Quds Day to express support for Palestinians. Protesters also chanted slogans against US President Donald Trump's Middle east peace plan, and against any normalization of ties with IS real. [size=50-100]",0,1641867731,BHR
7876596,48,BHR1564,1564,"25 May 2019",2019,1,Riots,"Violent demonstration","Rioters (Bahrain)",,5,,,0,50,"Middle East",Bahrain,Southern,,,Nuwaidrat,26.1347,50.5975,1,"Al Wafa",Other,"On 25 May 2019, anti-regime rioters blocked a street in Nuwaidrat with burning tyres. They were denouncing the normalization of ties with Israel. [size=no report]",0,1618859404,BHR
7875919,48,BHR1562,1562,"24 May 2019",2019,1,Riots,"Violent demonstration","Rioters (Bahrain)","February 14 Youth Coalition",5,,,0,50,"Middle East",Bahrain,Southern,,,Nuwaidrat,26.1347,50.5975,1,"14 February Revolution Youth Coalition",Other,"On 24 May 2019, anti-regime rioters who are part of the agitation led by the February 14 Youth Coalition, blocked a street in Nuwaidrat with burning tyres. February 14 Youth Coalition is currently denouncing normalization of ties with Israel. [size=no report]",0,1618859402,BHR
8820781,48,BHR1555,1555,"24 May 2019",2019,1,Protests,"Peaceful protest","Protesters (Bahrain)","Shiite Muslim Group (Bahrain)",6,,,0,60,"Middle East",Bahrain,Capital,,,"Al Musalla",26.2122,50.5372,1,"Bahrain Alyoum",National,"On 24/5/2019, a Shiite crowd took to the streets in Musalla in remembrance of five people who were killed in a police raid on a sit-on outside the house of Ayatollah Sheikh Isa Qassim in Diraz two years ago . [size=15-20]",0,1644271366,BHR
8820797,48,BHR1556,1556,"24 May 2019",2019,1,Protests,"Peaceful protest","Protesters (Bahrain)","Shiite Muslim Group (Bahrain)",6,,,0,60,"Middle East",Bahrain,Northern,,,Sar,26.1942,50.4819,1,"Bahrain Alyoum",National,"On 24/5/2019, a Shiite crowd took to the streets in Sar in remembrance of five people who were killed in a police raid on a sit-on outside the house of Ayatollah Sheikh Isa Qassim in Diraz two years ago . [size=20-50]",0,1644271366,BHR
6052895,48,BHR1560,1560,"23 May 2019",2019,1,Protests,"Peaceful protest","Protesters (Bahrain)","Shiite Muslim Group (Bahrain)",6,,,0,60,"Middle East",Bahrain,Northern,,,"Abu Saybi",26.2175,50.5069,1,"Abusaiba Media","New media","On 23/5/2019, a Shiite crowd took to the streets in Abu Saybi in remembrance of five people who were killed in a police raid on a sit-on outside the house of Ayatollah Sheikh Isa Qassim in Diraz two years ago . [size=20-50]",0,1571164539,BHR
