GEOID,year,cluster,cluster_labels
13063040520,2001,Mostly developed space (all intensities) / some forest,4
13063040520,2019,Mostly developed space (all intensities),7
13063040521,2001,Mostly developed open + low intensity / some forest,3
13063040521,2019,"Mostly developed open + low intensity, some medium/high",6
13063040522,2001,Mostly developed space (all intensities) / some forest,4
13063040522,2019,Mostly developed space (all intensities),7
13063040523,2001,Mostly developed space (all intensities) / some forest,4
13063040523,2019,Mostly developed space (all intensities),7
13063040524,2001,Mostly developed open + low intensity / some forest,3
13063040524,2019,Mostly developed open + low intensity / some forest,3
13063040525,2001,Mostly developed open + low intensity / some forest,3
13063040525,2019,Mostly developed open + low intensity / some forest,3
13063040526,2001,Mostly developed open + low intensity / some forest,3
13063040526,2019,Mostly developed open + low intensity / some forest,3
13063040606,2001,Mostly forest / farmland,1
13063040606,2019,Mostly forest / farmland,1
13063040608,2001,Mostly forest / farmland,1
13063040608,2019,Mostly forest / farmland,1
13063040609,2001,Mostly forest / some developed open + low intensity space,2
13063040609,2019,Mostly developed open + low intensity / some forest,3
13063040611,2001,Mostly developed space (all intensities),7
13063040611,2019,Mostly developed space (all intensities),7
13063040612,2001,Mostly developed space (all intensities) / some forest,4
13063040612,2019,Mostly developed space (all intensities),7
13063040613,2001,Mostly forest / some developed open + low intensity space,2
13063040613,2019,Mostly forest / some developed open + low intensity space,2
13063040614,2001,Mostly forest / some developed open + low intensity space,2
13063040614,2019,Mostly developed open + low intensity / some forest,3
13063040615,2001,Mostly forest / some developed open + low intensity space,2
13063040615,2019,Mostly forest / some developed open + low intensity space,2
13063040616,2001,Mostly developed open + low intensity / some forest,3
13063040616,2019,Mostly developed open + low intensity / some forest,3
13063040617,2001,Mostly developed space (all intensities) / some forest,4
13063040617,2019,Mostly developed space (all intensities) / some forest,4
13063040619,2001,Mostly forest / some developed open + low intensity space,2
13063040619,2019,Mostly developed open + low intensity / some forest,3
13063040620,2001,Mostly forest / farmland,1
13063040620,2019,Mostly forest / some developed open + low intensity space,2
13063040621,2001,Mostly forest / some developed open + low intensity space,2
13063040621,2019,Mostly developed open + low intensity / some forest,3
13063040622,2001,Mostly forest / some developed open + low intensity space,2
13063040622,2019,Mostly developed open + low intensity / some forest,3
13063980000,2001,Mostly medium to high intensity developed space,8
13063980000,2019,Mostly medium to high intensity developed space,8
13067030101,2001,Mostly forest / farmland,1
13067030101,2019,Mostly forest / farmland,1
13067030103,2001,Mostly forest / some developed open + low intensity space,2
13067030103,2019,Mostly developed space (all intensities) / some forest,4
13067030104,2001,Mostly forest / some developed open + low intensity space,2
13067030104,2019,Mostly developed open + low intensity / some forest,3
13067030106,2001,Mostly developed space (all intensities),7
13067030106,2019,"Mostly developed open + low intensity, some medium/high",6
13067030107,2001,Mostly forest / some developed open + low intensity space,2
13067030107,2019,Mostly developed open + low intensity / some forest,3
13067030209,2001,Mostly forest / farmland,1
13067030209,2019,Mostly forest / some developed open + low intensity space,2
13067030214,2001,Mostly forest / some developed open + low intensity space,2
13067030214,2019,Mostly forest / some developed open + low intensity space,2
13067030215,2001,Mostly developed open + low intensity / some forest,3
13067030215,2019,"Mostly developed open + low intensity, little medium/high",5
13067030218,2001,Mostly forest / farmland,1
13067030218,2019,Mostly forest / some developed open + low intensity space,2
13067030219,2001,Mostly forest / farmland,1
13067030219,2019,Mostly forest / some developed open + low intensity space,2
13067030220,2001,Mostly developed open + low intensity / some forest,3
13067030220,2019,Mostly developed open + low intensity / some forest,3
13067030222,2001,"Mostly developed open + low intensity, little medium/high",5
13067030222,2019,"Mostly developed open + low intensity, little medium/high",5
13067030223,2001,Mostly developed open + low intensity / some forest,3
13067030223,2019,Mostly developed open + low intensity / some forest,3
13067030224,2001,Mostly developed open + low intensity / some forest,3
13067030224,2019,Mostly developed space (all intensities),7
13067030226,2001,Mostly developed space (all intensities) / some forest,4
13067030226,2019,Mostly developed space (all intensities),7
13067030227,2001,Mostly developed space (all intensities),7
13067030227,2019,Mostly developed space (all intensities),7
13067030228,2001,Mostly developed space (all intensities) / some forest,4
13067030228,2019,Mostly developed space (all intensities),7
13067030229,2001,Mostly developed space (all intensities),7
13067030229,2019,Mostly developed space (all intensities),7
13067030230,2001,Mostly forest / farmland,1
13067030230,2019,Mostly developed space (all intensities) / some forest,4
13067030231,2001,Mostly forest / some developed open + low intensity space,2
13067030231,2019,Mostly forest / some developed open + low intensity space,2
13067030232,2001,Mostly forest / farmland,1
13067030232,2019,Mostly forest / some developed open + low intensity space,2
13067030233,2001,Mostly forest / some developed open + low intensity space,2
13067030233,2019,Mostly forest / some developed open + low intensity space,2
13067030234,2001,Mostly forest / farmland,1
13067030234,2019,Mostly forest / some developed open + low intensity space,2
13067030235,2001,Mostly forest / farmland,1
13067030235,2019,Mostly forest / some developed open + low intensity space,2
13067030236,2001,Mostly forest / some developed open + low intensity space,2
13067030236,2019,Mostly developed open + low intensity / some forest,3
13067030238,2001,Mostly forest / farmland,1
13067030238,2019,Mostly forest / some developed open + low intensity space,2
13067030239,2001,Mostly forest / farmland,1
13067030239,2019,Mostly forest / some developed open + low intensity space,2
13067030310,2001,Mostly developed open + low intensity / some forest,3
13067030310,2019,Mostly developed open + low intensity / some forest,3
13067030311,2001,Mostly developed open + low intensity / some forest,3
13067030311,2019,Mostly developed open + low intensity / some forest,3
13067030312,2001,"Mostly developed open + low intensity, little medium/high",5
13067030312,2019,"Mostly developed open + low intensity, little medium/high",5
13067030313,2001,Mostly developed open + low intensity / some forest,3
13067030313,2019,Mostly developed open + low intensity / some forest,3
13067030314,2001,Mostly developed open + low intensity / some forest,3
13067030314,2019,"Mostly developed open + low intensity, little medium/high",5
13067030318,2001,Mostly developed open + low intensity / some forest,3
13067030318,2019,Mostly developed open + low intensity / some forest,3
13067030319,2001,Mostly forest / farmland,1
13067030319,2019,Mostly forest / farmland,1
13067030320,2001,Mostly forest / farmland,1
13067030320,2019,Mostly forest / some developed open + low intensity space,2
13067030322,2001,Mostly forest / some developed open + low intensity space,2
13067030322,2019,"Mostly developed open + low intensity, little medium/high",5
13067030324,2001,Mostly developed open + low intensity / some forest,3
13067030324,2019,Mostly developed open + low intensity / some forest,3
13067030326,2001,Mostly forest / some developed open + low intensity space,2
13067030326,2019,Mostly forest / some developed open + low intensity space,2
13067030327,2001,"Mostly developed open + low intensity, little medium/high",5
13067030327,2019,"Mostly developed open + low intensity, little medium/high",5
13067030328,2001,"Mostly developed open + low intensity, little medium/high",5
13067030328,2019,"Mostly developed open + low intensity, little medium/high",5
13067030329,2001,"Mostly developed open + low intensity, little medium/high",5
13067030329,2019,"Mostly developed open + low intensity, little medium/high",5
13067030330,2001,"Mostly developed open + low intensity, little medium/high",5
13067030330,2019,"Mostly developed open + low intensity, little medium/high",5
13067030331,2001,Mostly forest / some developed open + low intensity space,2
13067030331,2019,"Mostly developed open + low intensity, little medium/high",5
13067030332,2001,"Mostly developed open + low intensity, little medium/high",5
13067030332,2019,"Mostly developed open + low intensity, little medium/high",5
13067030333,2001,"Mostly developed open + low intensity, little medium/high",5
13067030333,2019,"Mostly developed open + low intensity, little medium/high",5
13067030334,2001,"Mostly developed open + low intensity, little medium/high",5
13067030334,2019,"Mostly developed open + low intensity, some medium/high",6
13067030335,2001,"Mostly developed open + low intensity, little medium/high",5
13067030335,2019,"Mostly developed open + low intensity, little medium/high",5
13067030336,2001,Mostly developed open + low intensity / some forest,3
13067030336,2019,"Mostly developed open + low intensity, little medium/high",5
13067030337,2001,"Mostly developed open + low intensity, little medium/high",5
13067030337,2019,"Mostly developed open + low intensity, little medium/high",5
13067030339,2001,Mostly developed space (all intensities) / some forest,4
13067030339,2019,Mostly developed space (all intensities) / some forest,4
13067030340,2001,Mostly developed open + low intensity / some forest,3
13067030340,2019,Mostly developed open + low intensity / some forest,3
13067030341,2001,Mostly forest / some developed open + low intensity space,2
13067030341,2019,"Mostly developed open + low intensity, little medium/high",5
13067030342,2001,"Mostly developed open + low intensity, little medium/high",5
13067030342,2019,"Mostly developed open + low intensity, little medium/high",5
13067030343,2001,Mostly developed open + low intensity / some forest,3
13067030343,2019,"Mostly developed open + low intensity, little medium/high",5
13067030344,2001,Mostly developed space (all intensities),7
13067030344,2019,Mostly medium to high intensity developed space,8
13067030345,2001,Mostly developed space (all intensities),7
13067030345,2019,Mostly medium to high intensity developed space,8
13067030405,2001,"Mostly developed open + low intensity, some medium/high",6
13067030405,2019,"Mostly developed open + low intensity, some medium/high",6
13067030407,2001,"Mostly developed open + low intensity, little medium/high",5
13067030407,2019,"Mostly developed open + low intensity, little medium/high",5
13067030408,2001,"Mostly developed open + low intensity, little medium/high",5
13067030408,2019,"Mostly developed open + low intensity, little medium/high",5
13067030409,2001,"Mostly developed open + low intensity, little medium/high",5
13067030409,2019,"Mostly developed open + low intensity, little medium/high",5
13067030410,2001,Mostly developed open + low intensity / some forest,3
13067030410,2019,Mostly developed open + low intensity / some forest,3
13067030411,2001,Mostly medium to high intensity developed space,8
13067030411,2019,Mostly medium to high intensity developed space,8
13067030412,2001,Mostly medium to high intensity developed space,8
13067030412,2019,Mostly medium to high intensity developed space,8
13067030413,2001,Mostly developed space (all intensities),7
13067030413,2019,Mostly developed space (all intensities),7
13067030414,2001,Mostly medium to high intensity developed space,8
13067030414,2019,Mostly medium to high intensity developed space,8
13067030502,2001,Mostly developed space (all intensities),7
13067030502,2019,Mostly developed space (all intensities),7
13067030504,2001,Mostly developed open + low intensity / some forest,3
13067030504,2019,Mostly developed open + low intensity / some forest,3
13067030505,2001,Mostly developed space (all intensities),7
13067030505,2019,Mostly developed space (all intensities),7
13067030506,2001,Mostly developed open + low intensity / some forest,3
13067030506,2019,Mostly developed space (all intensities),7
13067030507,2001,Mostly developed open + low intensity / some forest,3
13067030507,2019,Mostly developed open + low intensity / some forest,3
13067030601,2001,Mostly developed space (all intensities) / some forest,4
13067030601,2019,Mostly developed space (all intensities) / some forest,4
13067030602,2001,Mostly forest / farmland,1
13067030602,2019,Mostly forest / some developed open + low intensity space,2
13067030700,2001,Mostly developed space (all intensities),7
13067030700,2019,Mostly developed space (all intensities),7
13067030800,2001,Mostly developed space (all intensities),7
13067030800,2019,Mostly developed space (all intensities),7
13067030901,2001,Mostly forest / some developed open + low intensity space,2
13067030901,2019,Mostly forest / some developed open + low intensity space,2
13067030902,2001,"Mostly developed open + low intensity, little medium/high",5
13067030902,2019,"Mostly developed open + low intensity, some medium/high",6
13067030904,2001,Mostly developed open + low intensity / some forest,3
13067030904,2019,"Mostly developed open + low intensity, some medium/high",6
13067030905,2001,Mostly developed open + low intensity / some forest,3
13067030905,2019,Mostly developed open + low intensity / some forest,3
13067031001,2001,Mostly developed space (all intensities),7
13067031001,2019,Mostly developed space (all intensities),7
13067031002,2001,Mostly developed open + low intensity / some forest,3
13067031002,2019,Mostly developed open + low intensity / some forest,3
13067031004,2001,"Mostly developed open + low intensity, some medium/high",6
13067031004,2019,"Mostly developed open + low intensity, some medium/high",6
13067031005,2001,Mostly forest / some developed open + low intensity space,2
13067031005,2019,Mostly developed open + low intensity / some forest,3
13067031101,2001,"Mostly developed open + low intensity, some medium/high",6
13067031101,2019,Mostly developed space (all intensities),7
13067031106,2001,Mostly developed open + low intensity / some forest,3
13067031106,2019,Mostly developed open + low intensity / some forest,3
13067031108,2001,"Mostly developed open + low intensity, some medium/high",6
13067031108,2019,"Mostly developed open + low intensity, some medium/high",6
13067031110,2001,"Mostly developed open + low intensity, some medium/high",6
13067031110,2019,"Mostly developed open + low intensity, some medium/high",6
13067031111,2001,Mostly developed space (all intensities),7
13067031111,2019,Mostly developed space (all intensities),7
13067031112,2001,"Mostly developed open + low intensity, little medium/high",5
13067031112,2019,"Mostly developed open + low intensity, little medium/high",5
13067031113,2001,Mostly developed space (all intensities),7
13067031113,2019,Mostly medium to high intensity developed space,8
13067031114,2001,Mostly developed space (all intensities),7
13067031114,2019,Mostly developed space (all intensities),7
13067031115,2001,Mostly developed open + low intensity / some forest,3
13067031115,2019,"Mostly developed open + low intensity, little medium/high",5
13067031116,2001,"Mostly developed open + low intensity, some medium/high",6
13067031116,2019,"Mostly developed open + low intensity, some medium/high",6
13067031117,2001,Mostly developed open + low intensity / some forest,3
13067031117,2019,Mostly developed open + low intensity / some forest,3
13067031118,2001,Mostly developed open + low intensity / some forest,3
13067031118,2019,Mostly developed open + low intensity / some forest,3
13067031205,2001,Mostly developed space (all intensities),7
13067031205,2019,Mostly developed space (all intensities),7
13067031206,2001,Mostly developed space (all intensities),7
13067031206,2019,Mostly developed space (all intensities),7
13067031207,2001,Mostly developed space (all intensities),7
13067031207,2019,Mostly developed space (all intensities),7
13067031208,2001,Mostly developed space (all intensities),7
13067031208,2019,Mostly developed space (all intensities),7
13067031209,2001,"Mostly developed open + low intensity, some medium/high",6
13067031209,2019,"Mostly developed open + low intensity, some medium/high",6
13067031211,2001,Mostly developed space (all intensities),7
13067031211,2019,Mostly developed space (all intensities),7
13067031212,2001,"Mostly developed open + low intensity, little medium/high",5
13067031212,2019,Mostly developed open + low intensity / some forest,3
13067031306,2001,Mostly developed open + low intensity / some forest,3
13067031306,2019,Mostly developed open + low intensity / some forest,3
13067031307,2001,Mostly forest / some developed open + low intensity space,2
13067031307,2019,Mostly forest / some developed open + low intensity space,2
13067031308,2001,Mostly developed open + low intensity / some forest,3
13067031308,2019,Mostly developed open + low intensity / some forest,3
13067031309,2001,Mostly forest / some developed open + low intensity space,2
13067031309,2019,Mostly developed open + low intensity / some forest,3
13067031310,2001,Mostly developed space (all intensities) / some forest,4
13067031310,2019,Mostly developed space (all intensities),7
13067031311,2001,Mostly forest / some developed open + low intensity space,2
13067031311,2019,Mostly developed space (all intensities) / some forest,4
13067031312,2001,Mostly forest / some developed open + low intensity space,2
13067031312,2019,Mostly developed space (all intensities) / some forest,4
13067031313,2001,Mostly forest / some developed open + low intensity space,2
13067031313,2019,Mostly developed space (all intensities) / some forest,4
13067031404,2001,Mostly developed open + low intensity / some forest,3
13067031404,2019,Mostly developed open + low intensity / some forest,3
13067031405,2001,Mostly developed open + low intensity / some forest,3
13067031405,2019,Mostly developed open + low intensity / some forest,3
13067031406,2001,Mostly developed open + low intensity / some forest,3
13067031406,2019,Mostly developed space (all intensities),7
13067031408,2001,Mostly forest / some developed open + low intensity space,2
13067031408,2019,Mostly developed space (all intensities) / some forest,4
13067031409,2001,Mostly forest / some developed open + low intensity space,2
13067031409,2019,Mostly forest / some developed open + low intensity space,2
13067031503,2001,Mostly forest / some developed open + low intensity space,2
13067031503,2019,Mostly forest / some developed open + low intensity space,2
13067031505,2001,Mostly forest / some developed open + low intensity space,2
13067031505,2019,Mostly developed open + low intensity / some forest,3
13067031506,2001,Mostly forest / some developed open + low intensity space,2
13067031506,2019,Mostly forest / some developed open + low intensity space,2
13067031507,2001,Mostly forest / some developed open + low intensity space,2
13067031507,2019,Mostly developed open + low intensity / some forest,3
13067031508,2001,Mostly forest / farmland,1
13067031508,2019,Mostly forest / some developed open + low intensity space,2
13067031509,2001,Mostly forest / farmland,1
13067031509,2019,Mostly forest / some developed open + low intensity space,2
13089020100,2001,"Mostly developed open + low intensity, little medium/high",5
13089020100,2019,"Mostly developed open + low intensity, little medium/high",5
13089020200,2001,"Mostly developed open + low intensity, little medium/high",5
13089020200,2019,"Mostly developed open + low intensity, little medium/high",5
13089020300,2001,"Mostly developed open + low intensity, little medium/high",5
13089020300,2019,"Mostly developed open + low intensity, little medium/high",5
13089020400,2001,"Mostly developed open + low intensity, some medium/high",6
13089020400,2019,"Mostly developed open + low intensity, some medium/high",6
13089020500,2001,"Mostly developed open + low intensity, some medium/high",6
13089020500,2019,"Mostly developed open + low intensity, some medium/high",6
13089020600,2001,Mostly developed space (all intensities),7
13089020600,2019,Mostly medium to high intensity developed space,8
13089020700,2001,"Mostly developed open + low intensity, some medium/high",6
13089020700,2019,"Mostly developed open + low intensity, some medium/high",6
13089020801,2001,"Mostly developed open + low intensity, little medium/high",5
13089020801,2019,"Mostly developed open + low intensity, some medium/high",6
13089020802,2001,"Mostly developed open + low intensity, little medium/high",5
13089020802,2019,"Mostly developed open + low intensity, some medium/high",6
13089020900,2001,"Mostly developed open + low intensity, some medium/high",6
13089020900,2019,"Mostly developed open + low intensity, some medium/high",6
13089021101,2001,"Mostly developed open + low intensity, little medium/high",5
13089021101,2019,"Mostly developed open + low intensity, little medium/high",5
13089021102,2001,"Mostly developed open + low intensity, little medium/high",5
13089021102,2019,Mostly developed space (all intensities),7
13089021202,2001,Mostly developed open + low intensity / some forest,3
13089021202,2019,Mostly developed open + low intensity / some forest,3
13089021204,2001,Mostly medium to high intensity developed space,8
13089021204,2019,Mostly medium to high intensity developed space,8
13089021208,2001,Mostly developed space (all intensities),7
13089021208,2019,Mostly developed space (all intensities),7
13089021209,2001,"Mostly developed open + low intensity, little medium/high",5
13089021209,2019,"Mostly developed open + low intensity, little medium/high",5
13089021210,2001,"Mostly developed open + low intensity, little medium/high",5
13089021210,2019,"Mostly developed open + low intensity, some medium/high",6
13089021211,2001,Mostly developed open + low intensity / some forest,3
13089021211,2019,Mostly developed open + low intensity / some forest,3
13089021213,2001,"Mostly developed open + low intensity, little medium/high",5
13089021213,2019,"Mostly developed open + low intensity, little medium/high",5
13089021214,2001,"Mostly developed open + low intensity, little medium/high",5
13089021214,2019,"Mostly developed open + low intensity, little medium/high",5
13089021215,2001,Mostly medium to high intensity developed space,8
13089021215,2019,Mostly medium to high intensity developed space,8
13089021216,2001,Mostly developed space (all intensities),7
13089021216,2019,Mostly developed space (all intensities),7
13089021217,2001,"Mostly developed open + low intensity, little medium/high",5
13089021217,2019,"Mostly developed open + low intensity, little medium/high",5
13089021218,2001,Mostly developed space (all intensities),7
13089021218,2019,Mostly developed space (all intensities),7
13089021301,2001,Mostly medium to high intensity developed space,8
13089021301,2019,Mostly medium to high intensity developed space,8
13089021303,2001,Mostly medium to high intensity developed space,8
13089021303,2019,Mostly medium to high intensity developed space,8
13089021305,2001,Mostly developed space (all intensities),7
13089021305,2019,Mostly developed space (all intensities),7
13089021306,2001,Mostly developed space (all intensities),7
13089021306,2019,Mostly developed space (all intensities),7
13089021307,2001,Mostly developed space (all intensities),7
13089021307,2019,Mostly developed space (all intensities),7
13089021308,2001,"Mostly developed open + low intensity, some medium/high",6
13089021308,2019,"Mostly developed open + low intensity, some medium/high",6
13089021405,2001,"Mostly developed open + low intensity, some medium/high",6
13089021405,2019,"Mostly developed open + low intensity, some medium/high",6
13089021409,2001,Mostly developed space (all intensities),7
13089021409,2019,Mostly developed space (all intensities),7
13089021410,2001,Mostly developed space (all intensities),7
13089021410,2019,Mostly developed space (all intensities),7
13089021411,2001,"Mostly developed open + low intensity, little medium/high",5
13089021411,2019,Mostly developed space (all intensities),7
13089021412,2001,"Mostly developed open + low intensity, little medium/high",5
13089021412,2019,"Mostly developed open + low intensity, little medium/high",5
13089021413,2001,"Mostly developed open + low intensity, some medium/high",6
13089021413,2019,"Mostly developed open + low intensity, some medium/high",6
13089021414,2001,Mostly developed space (all intensities),7
13089021414,2019,Mostly developed space (all intensities),7
13089021415,2001,Mostly developed space (all intensities),7
13089021415,2019,Mostly developed space (all intensities),7
13089021416,2001,"Mostly developed open + low intensity, some medium/high",6
13089021416,2019,"Mostly developed open + low intensity, some medium/high",6
13089021417,2001,Mostly developed space (all intensities),7
13089021417,2019,Mostly developed space (all intensities),7
13089021502,2001,"Mostly developed open + low intensity, some medium/high",6
13089021502,2019,Mostly developed space (all intensities),7
13089021503,2001,"Mostly developed open + low intensity, little medium/high",5
13089021503,2019,"Mostly developed open + low intensity, some medium/high",6
13089021504,2001,Mostly developed open + low intensity / some forest,3
13089021504,2019,Mostly developed open + low intensity / some forest,3
13089021602,2001,"Mostly developed open + low intensity, little medium/high",5
13089021602,2019,"Mostly developed open + low intensity, little medium/high",5
13089021603,2001,Mostly developed space (all intensities),7
13089021603,2019,Mostly developed space (all intensities),7
13089021604,2001,"Mostly developed open + low intensity, little medium/high",5
13089021604,2019,"Mostly developed open + low intensity, little medium/high",5
13089021605,2001,"Mostly developed open + low intensity, little medium/high",5
13089021605,2019,"Mostly developed open + low intensity, little medium/high",5
13089021703,2001,"Mostly developed open + low intensity, little medium/high",5
13089021703,2019,"Mostly developed open + low intensity, little medium/high",5
13089021704,2001,Mostly developed space (all intensities),7
13089021704,2019,Mostly developed space (all intensities),7
13089021705,2001,Mostly developed space (all intensities),7
