GEOID,class,value,year
13135050208,22,887.9725490196079,2001
13135050208,42,964.8470588235294,2001
13135050208,23,408.03921568627453,2001
13135050208,81,231.0,2001
13135050208,41,2941.3686274509805,2001
13135050208,43,215.0,2001
13135050208,21,645.9921568627451,2001
13135050213,31,606.6235294117647,2001
13135050213,11,149.0,2001
13135050213,95,41.0,2001
13135050213,52,37.05490196078431,2001
13135050213,71,482.0,2001
13135050213,24,578.0,2001
13135050213,90,799.0,2001
13135050213,22,2602.8274509803923,2001
13135050213,41,4953.427450980393,2001
13135050213,81,552.0,2001
13135050213,23,1326.992156862745,2001
13135050213,42,1062.0,2001
13135050213,43,458.00392156862745,2001
13135050213,21,2113.0313725490196,2001
13135050605,31,269.99607843137255,2001
13135050605,95,5.0,2001
13135050605,11,105.0,2001
13135050605,52,53.0,2001
13135050605,71,223.7921568627451,2001
13135050605,24,112.97254901960784,2001
13135050605,90,378.0,2001
13135050605,22,2563.050980392157,2001
13135050605,42,2258.0,2001
13135050605,23,848.9725490196079,2001
13135050605,81,2054.850980392157,2001
13135050605,41,6730.094117647059,2001
13135050605,43,1108.0,2001
13135050605,21,2365.886274509804,2001
13135050528,31,4.0,2001
13135050528,11,144.0,2001
13135050528,52,5.0,2001
13135050528,71,5.0,2001
13135050528,24,6.0,2001
13135050528,90,133.0,2001
13135050528,22,1021.0,2001
13135050528,42,628.0823529411765,2001
13135050528,23,142.0,2001
13135050528,81,19.0,2001
13135050528,41,880.6274509803922,2001
13135050528,43,240.0,2001
13135050528,21,1417.0,2001
13135050538,31,67.0,2001
13135050538,11,129.0,2001
13135050538,52,3.0,2001
13135050538,71,82.0,2001
13135050538,24,13.007843137254902,2001
13135050538,90,23.0,2001
13135050538,22,1355.9764705882353,2001
13135050538,41,501.0,2001
13135050538,23,551.0588235294117,2001
13135050538,81,76.0,2001
13135050538,42,157.0,2001
13135050538,43,83.0,2001
13135050538,21,912.9607843137255,2001
13135050530,71,43.38823529411765,2001
13135050530,24,1.0,2001
13135050530,21,714.9803921568628,2001
13135050530,22,929.9372549019608,2001
13135050530,42,200.9764705882353,2001
13135050530,43,50.0,2001
13135050530,23,198.96470588235294,2001
13135050530,81,69.0,2001
13135050530,41,415.0,2001
13135050530,31,126.29411764705883,2001
13135050530,11,1.0,2001
13135050530,52,3.0,2001
13135050529,71,89.0,2001
13135050529,24,399.0,2001
13135050529,21,855.0,2001
13135050529,22,994.0039215686274,2001
13135050529,42,567.0,2001
13135050529,23,844.0431372549019,2001
13135050529,81,34.0,2001
13135050529,41,687.0,2001
13135050529,43,83.0,2001
13135050529,31,71.88235294117646,2001
13135050529,11,7.0,2001
13135050529,52,3.0,2001
13135050217,31,355.9764705882353,2001
13135050217,11,200.0,2001
13135050217,52,39.0,2001
13135050217,71,175.00392156862745,2001
13135050217,24,266.0,2001
13135050217,90,2.0,2001
13135050217,22,2155.043137254902,2001
13135050217,23,1131.9725490196079,2001
13135050217,41,1957.0,2001
13135050217,81,1627.0,2001
13135050217,42,753.0941176470589,2001
13135050217,43,338.0,2001
13135050217,21,2319.0470588235294,2001
13135050218,31,6.0,2001
13135050218,11,39.0,2001
13135050218,52,8.0,2001
13135050218,71,45.9921568627451,2001
13135050218,24,147.94901960784313,2001
13135050218,90,12.0,2001
13135050218,22,675.5137254901961,2001
13135050218,42,312.0,2001
13135050218,23,224.25098039215686,2001
13135050218,81,55.0,2001
13135050218,41,284.0,2001
13135050218,43,136.9921568627451,2001
13135050218,21,837.6705882352941,2001
13135050317,24,124.95294117647059,2001
13135050317,90,23.219607843137254,2001
13135050317,22,193.21960784313725,2001
13135050317,42,50.73725490196078,2001
13135050317,23,231.15686274509804,2001
13135050317,81,5.0,2001
13135050317,41,47.199999999999996,2001
13135050317,43,34.96078431372549,2001
13135050317,21,206.9921568627451,2001
13135050317,31,2.0,2001
13135050320,71,24.0,2001
13135050320,24,642.9137254901962,2001
13135050320,90,68.0,2001
13135050320,21,408.0,2001
13135050320,22,728.1333333333333,2001
13135050320,41,228.0,2001
13135050320,23,506.9607843137255,2001
13135050320,81,20.0,2001
13135050320,42,91.0,2001
13135050320,43,135.0,2001
13135050320,11,28.0,2001
13135050320,31,29.0,2001
13135050318,71,6.0,2001
13135050318,24,21.08627450980392,2001
13135050318,90,30.152941176470588,2001
13135050318,22,125.76862745098039,2001
13135050318,41,48.20392156862745,2001
13135050318,23,117.0,2001
13135050318,81,1.0,2001
13135050318,42,53.2392156862745,2001
13135050318,43,57.435294117647054,2001
13135050318,21,87.73333333333332,2001
13135050318,31,14.0,2001
13135050215,31,85.0,2001
13135050215,11,12.0,2001
13135050215,95,2.0,2001
13135050215,52,15.0,2001
13135050215,71,58.0078431372549,2001
13135050215,24,1573.2588235294115,2001
13135050215,90,104.0,2001
13135050215,22,810.643137254902,2001
13135050215,41,775.9960784313726,2001
13135050215,23,1362.4156862745099,2001
13135050215,81,159.0,2001
13135050215,42,354.19607843137254,2001
13135050215,43,169.42352941176472,2001
13135050215,21,546.8235294117646,2001
13135050322,52,0.23137254901960785,2001
13135050322,11,184.95294117647052,2001
13135050322,31,9.0,2001
13135050322,71,20.0,2001
13135050322,24,46.0,2001
13135050322,90,37.52156862745098,2001
13135050322,22,839.3294117647059,2001
13135050322,41,1013.5411764705887,2001
13135050322,23,221.03921568627453,2001
13135050322,81,105.24313725490197,2001
13135050322,42,320.5411764705882,2001
13135050322,43,305.5411764705882,2001
13135050322,21,1300.870588235294,2001
13135050321,71,10.0,2001
13135050321,24,111.0,2001
13135050321,90,1.784313725490196,2001
13135050321,11,104.92941176470589,2001
13135050321,81,230.9058823529412,2001
13135050321,41,666.0588235294118,2001
13135050321,43,152.42745098039217,2001
13135050321,23,293.0156862745098,2001
13135050321,42,438.0,2001
